STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,WEATHER,latitude,longitud
40,27,4,20,17,30,2,2,0,0,15,6,0,12,4,2,1,1,2,35,1,2,2,1,0,0,0,1,1,0,0,17,36,17,49,18,8,0,0,0,0,1,6,0,400156,3220,0,2007,SW 34,MACKENZIE,0000000,2,1,35.30538056,-97.47678889
42,129,4,20,19,30,1,1,0,0,15,3,0,53,0,1,4,1,2,35,2,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,420299,0,16,2007,SR-2013,99999999999999999999,0000000,1,1,40.29323889,-79.50368611
42,111,4,20,22,41,1,1,0,0,4,3,0,42,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,420315,0,85,2007,SR-601,99999999999999999999,0000000,1,1,40.11698056,-79.04068333
42,83,4,20,21,20,1,2,0,0,4,3,0,1,0,1,2,1,2,55,2,1,2,1,0,0,0,2,1,0,0,21,21,21,28,99,99,0,0,0,0,1,6,1,420350,0,42,2007,SR-246,99999999999999999999,0000000,1,1,41.93477222,-78.51206667
42,101,4,20,20,40,3,1,0,0,16,6,0,14,7,1,4,4,1,25,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,420352,6540,0,2007,STILES ST,99999999999999999999,0000000,1,1,39.97550278,-75.18577222
48,113,4,20,21,16,1,1,0,0,16,5,0,33,0,1,4,1,4,35,1,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,20,0,0,1,6,0,480737,2800,0,2007,WARRIORTRAIL,99999999999999999999,0000000,1,1,,
48,441,4,20,19,43,2,2,0,1,13,3,0,12,5,8,1,5,4,50,1,1,2,1,0,0,0,1,1,0,0,19,46,19,49,19,55,0,0,0,0,1,6,0,480740,30,29,2007,SR-351,99999999999999999999,0000000,2,1,32.47886389,-99.69663611
48,203,4,20,23,0,1,1,0,0,5,8,0,42,0,1,4,1,2,55,1,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,480855,0,176,2007,FM449,99999999999999999999,0000000,1,1,32.54986389,-94.41843333
48,409,4,20,20,48,1,2,1,0,14,3,0,8,0,1,1,5,4,45,1,1,2,1,0,0,0,2,1,0,0,20,50,20,53,21,26,0,0,0,0,1,6,0,480973,240,17,2007,SR-35,99999999999999999999,0000000,1,1,27.92378611,-97.16075833
48,201,4,20,23,10,1,1,0,0,6,4,0,42,0,1,5,1,2,30,2,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,481046,0,0,2007,CHETLANDPLACE,99999999999999999999,0000000,1,1,29.89667222,-95.63248611
48,201,4,20,18,50,1,1,0,0,16,5,0,33,0,3,4,1,2,30,2,1,1,1,0,0,0,2,1,0,0,18,56,19,1,99,99,0,0,0,0,1,6,0,481112,3280,0,2007,SANDROCK,BOTANY,0000000,1,1,29.63435556,-95.34350278
49,41,4,20,23,25,1,1,0,0,6,5,0,34,0,1,6,1,2,50,1,1,2,1,0,0,0,2,1,0,0,23,26,23,35,0,3,0,0,0,0,1,6,0,490064,50,0,2007,SEVIER RIVER RD,99999999999999999999,0000000,1,1,38.70401944,-112.0902806
51,105,4,20,19,15,3,6,0,0,3,2,0,12,1,2,1,1,2,55,2,2,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,510232,0,8,2007,US-421,RT-746,0000000,3,1,36.76466111,-83.11063611
51,133,4,20,21,15,3,4,0,0,3,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,14,0,0,1,6,0,510233,0,113,2007,SR-200,99999999999999999999,0000000,3,1,37.77673056,-76.36880833
53,61,4,20,22,29,1,2,0,0,16,4,0,42,0,1,6,1,2,35,2,2,2,1,0,0,0,2,1,0,0,22,29,22,35,23,44,0,0,0,0,1,6,2,530140,0,11,2007,164TH ST SE,99999999999999999999,0000000,1,1,47.84842222,-122.1419000
54,11,4,20,17,47,2,3,0,0,6,6,0,12,2,2,1,1,2,25,1,1,2,1,20,3,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,540170,1270,0,2007,12TH STREET,9TH AVENUE,0000000,2,1,38.39145833,-82.43367222
