STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
31,55,4,20,16,30,4,2,12,2,0,1,12,31,89,0,0,0,0,11,11,3,0,1,1,0,36,1,1,11,0,0,0,9,0,2,1,0,0,0,0,0,,,0,0,0,8,310060,12481,,,,,0,000000000000,COF,F15,PK,0,9,0,0,8,0,0,96
31,55,4,20,16,30,4,2,12,2,0,2,35,6,86,0,0,0,0,11,11,1,0,,1,0,33,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,310060,35043,1958,945,0,,0,000000000000,***,SEN,SW,0,9,0,0,8,0,0,96
31,55,4,20,16,30,4,2,12,2,0,3,19,2,85,0,0,0,0,1,1,3,0,,1,0,50,1,1,11,0,0,0,9,0,2,1,0,0,0,0,0,,,0,0,0,8,310060,19003,3246,1108,0,,0,000000000000,***,DFW,CP,3,9,0,0,8,0,0,96
31,55,4,20,16,30,4,2,12,2,0,3,19,2,85,0,0,0,0,1,1,3,0,,2,0,51,2,2,13,0,0,0,9,8,4,1,4,20,92,17,8,0,38,0,0,0,0,310060,19003,3246,1108,0,,1708,************,***,DFW,CP,0,9,0,8,8,0,0,96
31,55,4,20,16,30,4,2,12,2,0,4,54,4,86,0,0,0,0,11,11,1,0,,1,0,35,2,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,310060,54032,3000,1086,0,,0,000000000000,***,LEG,4D,3,9,0,0,8,0,0,96
31,55,4,20,16,30,4,2,12,2,0,4,54,4,86,0,0,0,0,11,11,1,0,,2,0,99,9,2,21,0,0,0,9,8,0,0,0,0,0,0,0,,,0,0,0,8,310060,54032,3000,1086,0,,0,000000000000,***,LEG,4D,2,9,0,8,8,0,0,96
31,55,4,20,16,30,4,2,12,2,0,4,54,4,86,0,0,0,0,11,11,1,0,,3,0,99,9,2,23,0,0,0,9,8,0,0,0,0,0,0,0,,,0,0,0,8,310060,54032,3000,1086,0,,0,000000000000,***,LEG,4D,4,9,0,8,8,0,0,96
34,15,4,20,18,29,1,12,9,0,0,0,,,,,,,,,,,,,1,1,11,1,6,0,4,0,0,1,0,4,1,4,20,92,19,12,0,43,44,38,0,0,340165,,,,,,1912,************,,,,0,0,0,8,8,1,1,0
34,15,4,20,18,29,1,12,9,0,0,1,21,2,88,0,0,0,0,12,12,1,0,,1,0,36,2,1,11,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,8,340165,21016,2277,1012,0,,0,000000000000,***,FNZ,CP,3,9,0,8,8,1,1,0
35,15,4,20,17,45,2,13,12,4,0,1,20,31,73,0,0,0,0,12,12,1,0,1,1,0,25,1,1,11,0,0,0,9,0,2,0,0,0,0,0,0,,,0,0,0,8,350129,20481,,,,,0,000000000000,C10,C10,PK,0,9,0,8,8,0,0,96
35,15,4,20,17,45,2,13,12,4,0,2,20,5,84,0,0,0,0,9,9,2,0,,1,0,16,2,1,11,0,0,0,9,9,4,0,4,20,92,18,15,0,30,0,0,0,0,350129,20013,2090,943,973,,1815,************,***,CHS,4H,0,9,0,8,8,0,0,96
35,15,4,20,17,45,2,13,12,4,0,2,20,5,84,0,0,0,0,9,9,2,0,,2,0,17,2,2,13,0,0,0,9,8,1,1,0,0,0,0,0,,,0,0,0,8,350129,20013,2090,943,973,,0,000000000000,***,CHS,4H,0,9,0,8,8,0,0,96
35,15,4,20,17,45,2,13,12,4,0,2,20,5,84,0,0,0,0,9,9,2,0,,3,0,1,1,2,13,0,0,0,9,8,1,1,0,0,0,0,0,,,0,0,0,8,350129,20013,2090,943,973,,0,000000000000,***,CHS,4H,0,9,0,8,8,0,0,96
36,119,4,20,17,40,1,13,42,0,0,1,9,4,87,0,0,0,0,12,12,1,0,,1,0,43,1,1,11,0,0,1,9,0,4,1,4,20,92,22,5,4,25,0,0,0,0,360408,9008,2211,991,0,,2205,************,***,HOR,4H,0,9,0,0,8,1,2,2
36,65,4,20,23,43,2,13,12,2,0,1,37,80,87,0,0,0,0,12,12,1,0,,1,0,27,1,1,11,0,0,0,9,1,4,1,4,21,92,0,55,1,12,0,0,0,0,360447,37705,,,,600,55,************,***,BR6,RS,5,9,0,0,8,9,99,99
36,65,4,20,23,43,2,13,12,2,0,2,35,30,86,0,0,0,0,12,12,1,0,1,1,0,30,1,1,11,0,0,0,9,0,3,1,0,0,0,0,0,,,0,0,0,8,360447,35471,,,,,0,000000000000,D21,U2K,PK,3,9,0,0,8,9,99,99
36,53,4,20,22,27,1,5,8,0,0,0,,,,,,,,,,,,,1,1,18,1,5,0,12,0,0,9,8,4,1,4,21,92,0,26,1,59,4,0,0,0,360458,,,,,,26,************,,,,0,0,0,8,8,9,99,99
36,53,4,20,22,27,1,5,8,0,0,1,20,4,84,0,0,0,0,1,1,1,0,,1,0,16,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,360458,20013,2090,943,973,,0,000000000000,***,CHS,4H,3,9,0,0,8,9,99,99
37,155,4,20,17,45,1,2,27,0,0,1,20,14,72,2,0,0,0,3,13,1,0,,1,0,41,1,1,11,0,1,0,9,1,2,1,0,0,0,0,0,,,0,0,0,8,370304,20499,4000,1040,1270,,0,000000000000,***,C10,SW,0,9,9,8,8,9,99,97
37,155,4,20,17,45,1,2,27,0,0,1,20,14,72,2,0,0,0,3,13,1,0,,2,0,1,1,2,12,0,1,0,9,0,3,1,0,0,0,0,0,,,0,0,0,8,370304,20499,4000,1040,1270,,0,000000000000,***,C10,SW,0,9,9,8,8,9,99,96
37,155,4,20,17,45,1,2,27,0,0,1,20,14,72,2,0,0,0,3,13,1,0,,3,0,28,2,2,13,0,1,0,9,8,4,0,4,20,92,17,50,0,5,0,0,0,0,370304,20499,4000,1040,1270,,1750,************,***,C10,SW,0,9,9,8,8,0,0,0
37,21,4,20,16,23,2,4,12,2,0,1,48,2,80,0,0,0,0,11,11,1,0,,1,0,30,2,1,11,0,0,0,9,0,4,0,4,20,92,16,30,0,7,0,0,0,0,370305,48399,2155,933,969,,1630,************,***,FWD,2H,3,9,0,8,8,0,0,0
37,21,4,20,16,23,2,4,12,2,0,2,12,30,84,0,0,0,0,12,12,1,0,2,1,0,42,1,1,11,0,0,0,9,0,2,1,0,0,0,0,0,,,0,0,0,8,370305,12499,,,,,0,000000000000,COF,F25,PK,0,9,0,8,8,9,99,96
39,105,4,20,18,20,1,5,1,0,0,1,76,80,81,0,0,0,0,3,3,0,0,9,1,0,31,1,1,11,0,0,0,1,1,4,1,4,20,92,19,0,0,40,0,0,0,0,390352,76705,9999,9999,9999,9999,1900,************,999,999,99,0,9,0,0,1,7,97,15
45,27,4,20,23,22,1,4,8,0,0,0,,,,,,,,,,,,,1,1,31,1,5,0,13,0,0,1,1,4,0,4,20,92,23,39,0,17,4,0,0,0,450174,,,,,,2339,************,,,,0,0,0,0,8,2,1,17
45,27,4,20,23,22,1,4,8,0,0,1,12,63,91,0,0,0,0,10,10,1,0,7,1,0,39,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,450174,12881,,,,,0,000000000000,CON,N8F,CC,3,9,0,0,8,0,0,96
47,11,4,20,16,56,1,13,37,0,0,1,20,4,91,2,0,0,0,99,99,1,0,,1,0,87,2,1,11,0,0,0,9,0,2,1,0,0,0,0,0,,,0,0,0,8,470304,20016,2396,1012,0,,0,000000000000,***,CRV,4D,0,9,0,8,8,0,0,96
47,11,4,20,16,56,1,13,37,0,0,1,20,4,91,2,0,0,0,99,99,1,0,,2,0,89,1,2,13,0,0,0,9,0,4,1,5,7,92,10,5,401,9,0,0,0,9,470304,20016,2396,1012,0,,1005,************,***,CRV,4D,0,9,0,8,8,0,0,96
